 2.63920000e-07  5.01808829e-11  2.63920000e-07  8.72273073e-14 
 2.65920000e-07  5.01808829e-11  2.65920000e-07  8.84708598e-14 
 2.67920000e-07  5.01808829e-11  2.67920000e-07  8.97112314e-14 
 2.69920000e-07  5.01808829e-11  2.69920000e-07  9.09480345e-14 
 2.71920000e-07  5.01808829e-11  2.71920000e-07  9.21808838e-14 
 2.73920000e-07  5.01808829e-11  2.73920000e-07  9.34093967e-14 
 2.75920000e-07  5.01808829e-11  2.75920000e-07  9.46331929e-14 
 2.77920000e-07  5.01808829e-11  2.77920000e-07  9.58518957e-14 
 2.79920000e-07  5.01808829e-11  2.79920000e-07  9.70651310e-14 
 2.81920000e-07  5.01808829e-11  2.81920000e-07  9.82725287e-14 
 2.83920000e-07  5.01808829e-11  2.83920000e-07  9.94737220e-14 
 2.85920000e-07  5.01808829e-11  2.85920000e-07  1.00668348e-13 
 2.87920000e-07  5.01808829e-11  2.87920000e-07  1.01856049e-13 
 2.89920000e-07  5.01808829e-11  2.89920000e-07  1.03036469e-13 
 2.91920000e-07  5.01808829e-11  2.91920000e-07  1.04209261e-13 
 2.93920000e-07  5.01808829e-11  2.93920000e-07  1.05374078e-13 
 2.95920000e-07  5.01808829e-11  2.95920000e-07  1.06530581e-13 
 2.97920000e-07  5.01808829e-11  2.97920000e-07  1.07678436e-13 
 2.99920000e-07  5.01808829e-11  2.99920000e-07  1.08817314e-13 
 3.01920000e-07  5.01808829e-11  3.01920000e-07  1.09946891e-13 
 3.03920000e-07  5.01808829e-11  3.03920000e-07  1.11066851e-13 
 3.05920000e-07  5.01808829e-11  3.05920000e-07  1.12176881e-13 
 3.07920000e-07  5.01808829e-11  3.07920000e-07  1.13276677e-13 
 3.09920000e-07  5.01808829e-11  3.09920000e-07  1.14365940e-13 
 3.11920000e-07  5.01808829e-11  3.11920000e-07  1.15444378e-13 
 3.13920000e-07  5.01808829e-11  3.13920000e-07  1.16511706e-13 
 3.15920000e-07  5.01808829e-11  3.15920000e-07  1.17567647e-13 
 3.17920000e-07  5.01808829e-11  3.17920000e-07  1.18611929e-13 
 3.19920000e-07  5.01808829e-11  3.19920000e-07  1.19644289e-13 
 3.21920000e-07  5.01808829e-11  3.21920000e-07  1.20664471e-13 
 3.23920000e-07  5.01808829e-11  3.23920000e-07  1.21672226e-13 
 3.25920000e-07  5.01808829e-11  3.25920000e-07  1.22667316e-13 
 3.27920000e-07  5.01808829e-11  3.27920000e-07  1.23649506e-13 
 3.29920000e-07  5.01808829e-11  3.29920000e-07  1.24618573e-13 
 3.31920000e-07  5.01808829e-11  3.31920000e-07  1.25574302e-13 
 3.33920000e-07  5.01808829e-11  3.33920000e-07  1.26516484e-13 
 3.35920000e-07  5.01808829e-11  3.35920000e-07  1.27444920e-13 
 3.37920000e-07  5.01808829e-11  3.37920000e-07  1.28359422e-13 
 3.39920000e-07  5.01808829e-11  3.39920000e-07  1.29259806e-13 
 3.41920000e-07  5.01808829e-11  3.41920000e-07  1.30145902e-13 
 3.43920000e-07  5.01808829e-11  3.43920000e-07  1.31017544e-13 
 3.45920000e-07  5.01808829e-11  3.45920000e-07  1.31874580e-13 
 3.47920000e-07  5.01808829e-11  3.47920000e-07  1.32716864e-13 
 3.49920000e-07  5.01808829e-11  3.49920000e-07  1.33544260e-13 
