 6.99200000e-08  2.48406491e-23  6.99200000e-08  4.09462730e-11  6.99200000e-08  9.05097162e-12  6.99200000e-08  4.99972446e-11 
 7.19200000e-08  1.10402885e-23  7.19200000e-08  4.04571695e-11  7.19200000e-08  9.53984153e-12  7.19200000e-08  4.99970110e-11 
 7.39200000e-08  4.90679487e-24  7.39200000e-08  3.99582967e-11  7.39200000e-08  1.00384683e-11  7.39200000e-08  4.99967650e-11 
 7.59200000e-08  2.18079772e-24  7.59200000e-08  3.94499702e-11  7.59200000e-08  1.05465361e-11  7.59200000e-08  4.99965063e-11 
 7.79200000e-08  9.69243432e-25  7.79200000e-08  3.89325114e-11  7.79200000e-08  1.10637233e-11  7.79200000e-08  4.99962347e-11 
 7.99200000e-08  4.30774859e-25  7.99200000e-08  3.84062476e-11  7.99200000e-08  1.15897024e-11  7.99200000e-08  4.99959500e-11 
 8.19200000e-08  1.91455493e-25  8.19200000e-08  3.78715116e-11  8.19200000e-08  1.21241404e-11  8.19200000e-08  4.99956520e-11 
 8.39200000e-08  8.50913301e-26  8.39200000e-08  3.73286415e-11  8.39200000e-08  1.26666989e-11  8.39200000e-08  4.99953404e-11 
 8.59200000e-08  3.78183689e-26  8.59200000e-08  3.67779807e-11  8.59200000e-08  1.32170343e-11  8.59200000e-08  4.99950151e-11 
 8.79200000e-08  1.68081640e-26  8.79200000e-08  3.62198774e-11  8.79200000e-08  1.37747985e-11  8.79200000e-08  4.99946759e-11 
 8.99200000e-08  7.47029510e-27  8.99200000e-08  3.56546844e-11  8.99200000e-08  1.43396381e-11  8.99200000e-08  4.99943225e-11 
 9.19200000e-08  3.32013116e-27  9.19200000e-08  3.50827592e-11  9.19200000e-08  1.49111957e-11  9.19200000e-08  4.99939549e-11 
 9.39200000e-08  1.47561385e-27  9.39200000e-08  3.45044633e-11  9.39200000e-08  1.54891095e-11  9.39200000e-08  4.99935728e-11 
 9.59200000e-08  6.55828376e-28  9.59200000e-08  3.39201625e-11  9.59200000e-08  1.60730137e-11  9.59200000e-08  4.99931762e-11 
 9.79200000e-08  2.91479278e-28  9.79200000e-08  3.33302261e-11  9.79200000e-08  1.66625386e-11  9.79200000e-08  4.99927647e-11 
 9.99200000e-08  1.29546346e-28  9.99200000e-08  3.27350271e-11  9.99200000e-08  1.72573113e-11  9.99200000e-08  4.99923384e-11 
 1.01920000e-07  5.75761538e-29  1.01920000e-07  3.21349420e-11  1.01920000e-07  1.78569551e-11  1.01920000e-07  4.99918971e-11 
 1.03920000e-07  2.55894017e-29  1.03920000e-07  3.15303499e-11  1.03920000e-07  1.84610907e-11  1.03920000e-07  4.99914406e-11 
 1.05920000e-07  1.13730674e-29  1.05920000e-07  3.09216333e-11  1.05920000e-07  1.90693357e-11  1.05920000e-07  4.99909689e-11 
 1.07920000e-07  5.05469663e-30  1.07920000e-07  3.03091768e-11  1.07920000e-07  1.96813051e-11  1.07920000e-07  4.99904819e-11 
 1.09920000e-07  2.24653183e-30  1.09920000e-07  2.96933678e-11  1.09920000e-07  2.02966117e-11  1.09920000e-07  4.99899794e-11 
 1.11920000e-07  9.98458593e-31  1.11920000e-07  2.90745954e-11  1.11920000e-07  2.09148661e-11  1.11920000e-07  4.99894615e-11 
 1.13920000e-07  4.43759375e-31  1.13920000e-07  2.84532509e-11  1.13920000e-07  2.15356771e-11  1.13920000e-07  4.99889279e-11 
 1.15920000e-07  1.97226389e-31  1.15920000e-07  2.78297270e-11  1.15920000e-07  2.21586518e-11  1.15920000e-07  4.99883788e-11 
 1.17920000e-07  8.76561728e-32  1.17920000e-07  2.72044178e-11  1.17920000e-07  2.27833961e-11  1.17920000e-07  4.99878139e-11 
 1.19920000e-07  3.89582990e-32  1.19920000e-07  2.65777187e-11  1.19920000e-07  2.34095146e-11  1.19920000e-07  4.99872333e-11 
 1.21920000e-07  1.73147996e-32  1.21920000e-07  2.59500258e-11  1.21920000e-07  2.40366112e-11  1.21920000e-07  4.99866370e-11 
 1.23920000e-07  7.69546647e-33  1.23920000e-07  2.53217357e-11  1.23920000e-07  2.46642892e-11  1.23920000e-07  4.99860249e-11 
 1.25920000e-07  3.42020732e-33  1.25920000e-07  2.46932457e-11  1.25920000e-07  2.52921513e-11  1.25920000e-07  4.99853970e-11 
 1.27920000e-07  1.52009214e-33  1.27920000e-07  2.40649530e-11  1.27920000e-07  2.59198004e-11  1.27920000e-07  4.99847533e-11 
 1.29920000e-07  6.75596508e-34  1.29920000e-07  2.34372546e-11  1.29920000e-07  2.65468393e-11  1.29920000e-07  4.99840939e-11 
 1.31920000e-07  3.00265114e-34  1.31920000e-07  2.28105472e-11  1.31920000e-07  2.71728715e-11  1.31920000e-07  4.99834187e-11 
 1.33920000e-07  1.33451162e-34  1.33920000e-07  2.21852270e-11  1.33920000e-07  2.77975008e-11  1.33920000e-07  4.99827278e-11 
 1.35920000e-07  5.93116276e-35  1.35920000e-07  2.15616892e-11  1.35920000e-07  2.84203320e-11  1.35920000e-07  4.99820212e-11 
 1.37920000e-07  2.63607234e-35  1.37920000e-07  2.09403278e-11  1.37920000e-07  2.90409712e-11  1.37920000e-07  4.99812990e-11 
 1.39920000e-07  1.17158770e-35  1.39920000e-07  2.03215354e-11  1.39920000e-07  2.96590258e-11  1.39920000e-07  4.99805612e-11 
 1.41920000e-07  5.20705647e-36  1.41920000e-07  1.97057031e-11  1.41920000e-07  3.02741048e-11  1.41920000e-07  4.99798079e-11 
 1.43920000e-07  2.31424732e-36  1.43920000e-07  1.90932200e-11  1.43920000e-07  3.08858192e-11  1.43920000e-07  4.99790392e-11 
 1.45920000e-07  1.02855436e-36  1.45920000e-07  1.84844732e-11  1.45920000e-07  3.14937819e-11  1.45920000e-07  4.99782552e-11 
 1.47920000e-07  4.57135273e-37  1.47920000e-07  1.78798473e-11  1.47920000e-07  3.20976085e-11  1.47920000e-07  4.99774559e-11 
 1.49920000e-07  2.03171232e-37  1.49920000e-07  1.72797244e-11  1.49920000e-07  3.26969171e-11  1.49920000e-07  4.99766415e-11 
 1.51920000e-07  9.02983255e-38  1.51920000e-07  1.66844836e-11  1.51920000e-07  3.32913285e-11  1.51920000e-07  4.99758121e-11 
 1.53920000e-07  4.01325891e-38  1.53920000e-07  1.60945010e-11  1.53920000e-07  3.38804668e-11  1.53920000e-07  4.99749678e-11 
 1.55920000e-07  1.78367063e-38  1.55920000e-07  1.55101494e-11  1.55920000e-07  3.44639594e-11  1.55920000e-07  4.99741088e-11 
 1.57920000e-07  7.92742501e-39  1.57920000e-07  1.49317979e-11  1.57920000e-07  3.50414373e-11  1.57920000e-07  4.99732352e-11 
 1.59920000e-07  3.52330000e-39  1.59920000e-07  1.43598119e-11  1.59920000e-07  3.56125352e-11  1.59920000e-07  4.99723471e-11 
 1.61920000e-07  1.56591111e-39  1.61920000e-07  1.37945527e-11  1.61920000e-07  3.61768921e-11  1.61920000e-07  4.99714448e-11 
